,year,mileage,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
0,2020,1200,2.0,1,0,0,0,1,0,0,0,30495
1,2020,1000,1.5,1,0,0,0,0,0,0,1,29989
2,2020,500,2.0,1,0,0,0,1,0,0,0,37899
3,2019,5000,2.0,1,0,0,0,1,0,0,0,30399
4,2019,4500,2.0,1,0,0,0,1,0,0,0,29899
5,2020,1000,2.0,1,0,0,0,1,0,0,0,30999
6,2020,500,2.0,1,0,0,0,1,0,0,0,35999
7,2019,1412,3.0,1,0,0,0,0,0,0,1,37990
8,2019,3569,2.0,1,0,0,0,1,0,0,0,28990
9,2019,3635,2.0,1,0,0,0,1,0,0,0,28990
10,2013,44900,1.6,1,0,0,0,0,0,0,1,9995
11,2012,88200,2.1,1,0,0,0,1,0,0,0,6995
12,2012,115000,2.1,1,0,0,0,1,0,0,0,7495
13,2011,69250,2.1,1,0,0,0,1,0,0,0,8995
14,2015,49850,2.1,1,0,0,0,1,0,0,0,14995
15,2013,82685,2.1,1,0,0,0,1,0,0,0,8595
16,2016,32506,2.1,0,0,0,1,1,0,0,0,19250
17,2017,17000,2.1,0,0,0,1,1,0,0,0,23500
18,2018,17744,2.0,0,0,0,1,1,0,0,0,24995
19,2016,64291,4.0,0,0,0,1,0,0,0,1,29995
20,2014,41011,2.0,1,0,0,0,0,0,0,1,17990
21,2016,72000,1.6,1,0,0,0,1,0,0,0,14477
22,2013,72000,2.1,1,0,0,0,1,0,0,0,10977
23,2016,40000,1.6,1,0,0,0,1,0,0,0,17977
24,2015,52000,2.1,1,0,0,0,1,0,0,0,12790
25,2017,66472,2.1,1,0,0,0,1,0,0,0,14488
26,2011,91000,2.1,0,1,0,0,1,0,0,0,7500
27,2013,69700,2.1,1,0,0,0,1,0,0,0,9750
28,2015,39000,1.6,1,0,0,0,1,0,0,0,15995
29,2016,39287,2.1,0,1,0,0,1,0,0,0,15675
30,2016,40569,2.1,0,1,0,0,1,0,0,0,16475
31,2016,37419,2.0,0,1,0,0,0,0,0,1,15975
32,2016,34452,2.1,1,0,0,0,1,0,0,0,16475
33,2015,41567,2.1,1,0,0,0,0,1,0,0,15975
34,2015,41130,2.0,1,0,0,0,0,1,0,0,16495
35,2017,37778,2.1,1,0,0,0,1,0,0,0,17795
36,2017,44325,2.1,1,0,0,0,1,0,0,0,17875
37,2016,45000,2.1,1,0,0,0,1,0,0,0,14000
38,2017,75000,1.6,1,0,0,0,1,0,0,0,16500
39,2016,36000,2.1,1,0,0,0,1,0,0,0,21000
40,2015,64000,2.1,1,0,0,0,1,0,0,0,15500
41,2013,106000,2.1,0,1,0,0,1,0,0,0,7250
42,2015,67150,2.1,1,0,0,0,1,0,0,0,13000
43,2012,43426,1.6,1,0,0,0,0,0,0,1,11000
44,2016,42622,2.1,0,1,0,0,1,0,0,0,13300
45,2016,34903,2.1,0,1,0,0,1,0,0,0,16000
46,2014,35345,2.1,1,0,0,0,1,0,0,0,12500
47,2015,23146,2.0,0,1,0,0,0,0,0,1,14495
48,2017,16000,2.1,1,0,0,0,1,0,0,0,24500
49,2013,44000,6.2,1,0,0,0,0,0,0,1,23990
50,2015,30000,2.1,1,0,0,0,1,0,0,0,17250
51,2015,22000,1.6,1,0,0,0,0,0,0,1,14200
52,2017,19000,2.0,1,0,0,0,0,0,0,1,22950
53,2013,90000,2.1,1,0,0,0,1,0,0,0,10500
54,2014,32000,2.1,1,0,0,0,1,0,0,0,15650
55,2015,90000,2.1,1,0,0,0,1,0,0,0,14850
56,2017,37000,2.1,1,0,0,0,1,0,0,0,22400
